
;; Main Menu
MAINMENU_TITLE;OpenVic
DIALOG_OK;Ок
DIALOG_CANCEL;Отменить
DIALOG_SAVE_AND_RESIGN;Сохраниться и выйти в главное меню
DIALOG_SAVE_AND_QUIT;Сохраниться и выйти из игры

;; Province Overview Panel
province_MISSING;Нет провинции
region_MISSING;Нет региона
LIFE_RATING_TOOLTIP;Уровень жизни: {life_rating}
rgo_MISSING;Нет ДП
building_MISSING;Нет здания
building_fort;Форт
building_naval_base;Морская база
building_railroad;Железная дорога
EXPAND_PROVINCE_BUILDING;Расширить
